,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapport : UMCC0008,,,,,,,Horaire des cours et des examens,,,,,,,,,,,,,,,,,,,,,,,Page   : 1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date   : 2024-07-07,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heure : 13:32:47,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faculté,Faculté DL,Comp. Univ.,Comp DL,Cheminement,Mat.,Num. rép.,Sect.,Titre,Volet,No. cours,Cours associé,Sect. Combinée,Code sect. comb.,Descr. sect. comb.,Statut,Mode,Session,Jour,De,A,Du,Au,Première date No. Cours,Dernière date No. Cours,Campus,Cap.,Inscr. Max,Inscr.,Approb. Inscr.,Nom enseignant 1,Type enseignant 1,Nom enseignant 2,Type enseignant 2,Nom enseignant 3,Type enseignant 3,Valeurs attributs cours,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,2021,A,Litt. japonaise contemporaine,TH,3163 ,1,,,,Actif,P,1,Ma,12:30,15:29,2025-01-14,2025-02-25,2025-01-14,2025-04-15,Montréal,34,34,7,N,,,,,,,  CAFF/CHOIX/HP/J/LIBRE/N,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,2021,A,Litt. japonaise contemporaine,TH,3163 ,1,,,,Actif,P,1,Ma,12:30,15:29,2025-03-11,2025-04-08,2025-01-14,2025-04-15,Montréal,34,34,7,N,,,,,,,  CAFF/CHOIX/HP/J/LIBRE/N,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,2021,A,Litt. japonaise contemporaine,Final,3163 ,1,,,,Actif,P,1,Ma,12:30,15:29,2025-04-15,2025-04-15,2025-01-14,2025-04-15,Montréal,34,34,7,,,,,,,,  CAFF/CHOIX/HP/J/LIBRE/N,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,2060,A,Étude d'un pays asiatique 2,TH,2190 ,1,,,,Actif,P,1,Lu,12:30,15:29,2025-01-13,2025-02-24,2025-01-13,2025-04-22,Montréal,34,34,2,N,,,,,,,  C/CHOIX/HP/J/LIBRE,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,2060,A,Étude d'un pays asiatique 2,TH,2190 ,1,,,,Actif,P,1,Lu,12:30,15:29,2025-03-10,2025-04-14,2025-01-13,2025-04-22,Montréal,34,34,2,N,,,,,,,  C/CHOIX/HP/J/LIBRE,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,2060,A,Étude d'un pays asiatique 2,Final,2190 ,1,,,,Actif,P,1,Ma,12:30,15:29,2025-04-22,2025-04-22,2025-01-13,2025-04-22,Montréal,34,34,2,,,,,,,,  C/CHOIX/HP/J/LIBRE,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,3010,A,Lire la pensée chin. antique,TH,13129 ,1,,,,Actif,SD,1,Lu,15:30,18:29,2025-01-13,2025-02-24,2025-01-13,2025-04-22,Virtuel,34,34,3,N,"Ghiglione,Anna",PI,,,,,  CAFF/J/N,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,3010,A,Lire la pensée chin. antique,TH,13129 ,1,,,,Actif,SD,1,Lu,15:30,18:29,2025-03-10,2025-04-14,2025-01-13,2025-04-22,Virtuel,34,34,3,N,"Ghiglione,Anna",PI,,,,,  CAFF/J/N,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,3010,A,Lire la pensée chin. antique,Final,13129 ,1,,,,Actif,SD,1,Ma,15:30,18:29,2025-04-22,2025-04-22,2025-01-13,2025-04-22,Virtuel,34,34,3,,,,,,,,  CAFF/J/N,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,3021,A,Le cinéma japonais,TH,2419 ,1,,,,Actif,P,1,Je,08:30,11:29,2025-01-09,2025-02-27,2025-01-09,2025-04-17,Montréal,34,34,10,N,,,,,,,  CHOIX/HP/J/LIBRE,
